S1 Notes - Delver Cards

ID, Title, Text, Count
100, Ancient Map, This turn you may reroll your Excavation roll., 5
101, Band of Delvers, You may roll 2 dice during the Excavation phase. They may go on the same or different ruins., 2
102, Restoration, Reroll all of your dice., 2
103, Ancestral Claim, The next D6 rolled this turn gets +2., 4
104, Forgotten Song, Choose a number. Reroll all dice showing that number., 3
105, Forlorn, Give -2 to any one dice alread on a Ruin., 3
106, Lost in the Ruins, Reroll any one die already on a Ruin., 4
107, Reading the Stones, Give the next die rolled this turn +1 or -1, 5
108, A New Discovery, Give +2 to any die already on a Ruin., 5
109, Expedition, You may choose where to place your Excavation roll after you roll., 5


